signal_id,tier,timeframe,symbol,signal_time,entry_time,close_time,raw_entry_px,raw_exit_px,raw_gross_pct,exit_reason,bars_held,status,first_seen_run_id,last_seen_run_id
6ad350b74246a74b0f4169c03134cea9,fast,1h,BTC,2022-08-08T06:00:00+00:00,2022-08-08T07:00:00+00:00,2022-08-09T14:00:00+00:00,23733.88,22876.215275022463,-3.6136726273897857,stop,32,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
7b1695bac472704df6c57df6cd915518,fast,1h,ADA,2022-08-10T12:00:00+00:00,2022-08-10T13:00:00+00:00,2022-08-18T23:00:00+00:00,0.53484,0.5088740846498954,-4.854894052446457,stop,203,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
e171bbfa6ec43c5818590e9eb6e42d05,fast,1h,BNB,2022-08-10T12:00:00+00:00,2022-08-10T13:00:00+00:00,2022-08-17T12:00:00+00:00,330.4457,310.5416126549655,-6.0234063705578595,stop,168,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
a983c04324ca8b28ff34b97a08d8d911,fast,1h,BTC,2022-08-10T12:00:00+00:00,2022-08-10T13:00:00+00:00,2022-08-18T23:00:00+00:00,23987.06,23195.31,-3.300737981228208,trend_break,203,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
310b8773deb4628f289c8b00c014e818,fast,1h,ETH,2022-08-10T12:00:00+00:00,2022-08-10T13:00:00+00:00,2022-08-19T11:00:00+00:00,1824.25,1715.560926245471,-5.958014184159466,stop,215,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
17814aa8625b1bf3e11f14440dc76047,fast,1h,SOL,2022-08-10T12:00:00+00:00,2022-08-10T13:00:00+00:00,2022-08-17T13:00:00+00:00,42.1308,41.4711,-1.5658378193625588,trend_break,169,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
27e2b0f6dafc39e4fe54899577227b84,fast,1h,ADA,2022-08-13T06:00:00+00:00,2022-08-13T07:00:00+00:00,2022-08-17T13:00:00+00:00,0.56139,0.5330550303843945,-5.0472879131451265,stop,103,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
3839732a6ec1685a70b11b4b90290883,fast,1h,ETH,2022-08-17T05:00:00+00:00,2022-08-17T06:00:00+00:00,2022-08-19T06:00:00+00:00,1925.71,1795.4767119263722,-6.762871256504244,stop,49,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
9e7631c012ad8d90d1047f87f6702a6f,fast,1h,ADA,2022-09-06T00:00:00+00:00,2022-09-06T01:00:00+00:00,2022-09-06T17:00:00+00:00,0.50463,0.47347957466551216,-6.1729237925783,stop,17,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
c77ee719235bf3cd6c50887d52eaea15,fast,1h,BNB,2022-09-06T00:00:00+00:00,2022-09-06T01:00:00+00:00,2022-09-06T01:00:00+00:00,283.1872,282.6042,-0.20587088681974786,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
10bff26df030fa5188cd04b59578cb73,fast,1h,BTC,2022-09-06T00:00:00+00:00,2022-09-06T01:00:00+00:00,2022-09-06T01:00:00+00:00,20103.46,19772.24,-1.647577083745766,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
9b92a738bd0075b9a5a2c15e6ba1c3f2,fast,1h,ETH,2022-09-06T00:00:00+00:00,2022-09-06T01:00:00+00:00,2022-09-06T17:00:00+00:00,1662.82,1588.63,-4.461697598056302,trend_break,17,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
c3b3eb5c5971c180cfdacc6d874e1c4e,fast,1h,SOL,2022-09-06T00:00:00+00:00,2022-09-06T01:00:00+00:00,2022-09-06T01:00:00+00:00,33.1757,32.54,-1.9161615278652788,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
d18d252338c5f355adc355a3ad716f5b,fast,1h,BNB,2022-09-09T03:00:00+00:00,2022-09-09T04:00:00+00:00,2022-09-13T12:00:00+00:00,285.4935,283.4121,-0.7290533759962914,trend_break,105,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
2cdb206760d8f06b3227c4aa9bffecba,fast,1h,BTC,2022-09-09T03:00:00+00:00,2022-09-09T04:00:00+00:00,2022-09-09T04:00:00+00:00,19950,20363.16,2.0709774436090234,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
ed4a1313da2964263030f06b9dc9c7af,fast,1h,ETH,2022-09-09T04:00:00+00:00,2022-09-09T05:00:00+00:00,2022-09-13T12:00:00+00:00,1696.77,1630.53,-3.9038879753885314,trend_break,104,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
b0fe3e8cba18212bb5a3fc59c6211775,fast,1h,ADA,2022-09-09T23:00:00+00:00,2022-09-10T00:00:00+00:00,2022-09-13T12:00:00+00:00,0.5021,0.47221495358565285,-5.95201083735255,stop,85,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
c5c4f580abb1444104bcff73ac4329bd,fast,1h,SOL,2022-09-12T09:00:00+00:00,2022-09-12T10:00:00+00:00,2022-09-13T14:00:00+00:00,37.4436,34.83200639005539,-6.974739634929906,stop,29,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
